sample_id;Давление в E-301;Масса КГД из куба колонны;Вывод балансового избытка;520-540;K-301 Темп-ра в гор. зоне;Метан+этан из жидкости в Е-301;60-70;50-60;н-пентан;40-50
ПРОБА 74;1.97177487386167;164.698690707364;0.100042170857904;0.0599838330012333;178.999884986369;0.0698399594677896;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 75;1.90152304310265;164.836491276277;0.100040492272962;0.0599838330012333;178.998945368574;0.0698739505099013;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 76;1.8385972344756;164.941165254644;0.10004895571364;0.0599838330012333;178.998689140115;0.0698447134148887;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 77;1.78602647800921;165.013070248342;0.0999732070877761;0.0599838330012333;179.000780425604;0.0700820035790865;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 78;1.93382551703972;129.17911007437;0.0012411822589136;0.0599838330012333;178.897988203027;0.0907700431447633;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 79;1.73850338384138;165.197658909923;0.109837570556798;0.0599838330012333;176.532840505452;0.0758660882212817;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 81;1.69181622681522;164.60626690042;0.113050010763949;0.0599838330012333;178.988741511379;0.0796135041543031;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 82;1.10636987694281;198.867038933989;0.0979324355883045;0.0599838330012333;178.95978861926;0.0719676540513606;3.59503321466534;0.128034046501748;0.0;0.35
ПРОБА 83;1.11041732022936;196.32829074207;0.101114859400081;0.0599838330012333;180.478256821981;0.0693282187810231;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 84;1.14294543421372;196.493859695025;0.0969377069571306;0.0599838330012333;178.923874512682;0.0731336989651607;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 85;1.13825189710376;194.881777076004;0.0998841630098341;0.0599838330012333;178.982931906096;0.0700062334314723;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 86;1.15404723525518;193.656163913926;0.0999244917468981;0.0599838330012333;178.99208181536;0.070016425458949;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 87;1.16983297955303;192.493608280532;0.0998867327106196;0.0599838330012333;178.968966903569;0.0700046607647122;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 88;1.18646373186836;191.313398504889;0.0999798225386929;0.0599838330012333;178.993499744356;0.0700285893652501;3.59503321466534;0.128034046501748;0.0;0.348863075347693
ПРОБА 89;1.20302978401421;190.187991296745;0.0999655600428369;0.0599838330012333;178.990121375881;0.0700291016882827;3.59503321466534;0.128034046501748;0.0;0.348863075347693
